Age,Memento_Count
1,3
1,20
2,13
2,4
2,5
2,2
2,60
3,13
1,1
2,7
2,6
3,2
1,2
1,1
2,45
2,5
2,3
1,5
3,7
2,1
2,2
2,3
2,7
2,6
431,115
913,61
786,4
1905,28
2,1
1,5
3,33
1,2
1,74
1,10
4,6
2,6
2,3
4,11
2,2
26,2
130,2
551,26
144,2
2,1
1132,4
1,6
1,1
2,1
2,17
1,1
2,1
82,21
2,3
1,6
2,7
1,9
1,3
2,2
2,3
2,5
1,2
2,5
2,1
2,3
601,172
2,2
1,1
1,10
2,6
7761,3996
1,3
570,7
1,7
2,21
2,1
2,1
1,1
1,5
3,1
3,2
2,3
2,1
1,4
1,3
2,38
1,2
2,6
2,7
2,3
1,2
2,14
2,2
2,1
1,4
1,1
1,11
2124,2
3,1
2,3
1,1
1,2
1,2
1,6
2,1
1,2
1,3
586,7
21,27
1,2
1,1
1,4
7,51
2,5
2,3
2,3
1,12
2,1
1,1
2,1
1,6
2,31
2,5
1,7
1,8
1,1
3,6
2,1
2050,1403
6474,8716
1,27
2,7
2,6
1,10
2,1
3,1
10,3
3,2
4,1
1,16
1,7
1,14
3,27
3,3
1,16
4,40
2,3
1,3
2,5
2,2
2,45
4,1
2,1
2,3
5971,279
1,3
2,6
4,9
1184,79
2,2
1,1
2,4
1,3
1,1
1,4
143,1
381,1
263,50
3,2
1,18
1,3
2,5
3,1
3,6
564,13
1,3
2,1
2,3
6,2
2,5
3,43
7782,81183
2,1
2,2
3,1
1,1
23,31
1,4
2,6
2,3
2,6
1429,4
1339,2
1,5
1,3
1,2
3,1
1,16
147,104
1657,238
457,160
2,1
2,5
3,4
4850,822
2,5
2,11
607,36
3,8
2,1
486,41
4,15
2,5
4,16
2,1
22,1
2,4
2,3
2,1
2,4
1070,7
2,41
3,3
3,4
3,36
51,55
1,6
2,3
2,28
2,6
2,4
2,3
344,4
4,11
6,9
2,1
900,39
366,4
1,3
2,2
2,3
1,1
1467,10
1467,9
2,2
2,3
5,1
529,5
529,13
529,4
2,18
2,3
1,2
3,3
2394,2691
1,2
29,5
2,15
1,1
148,6
2,2
2,16
2,1
684,16
2,3
3,1
2,16
1,3
1,29
2,3
228,2
148,1
2,4
2,2
4441,2262
1,2
2,7
3,1
2,1
2,4
1,6
2,5
20,1
1,2
2,1
1,3
2,2
6291,23
1,3
4,3
2,3
1,2
1,2
1,2
25,1
2,8
1,21
2,4
432,100
29,1
1,7
1,1
1,17
2,2
566,7
1,4
1,13
2,8
2,3
2,7
3,6
2,5
1,1
381,21
1,5
6,1
2,5
1,16
3,3
3,1
2,2
1,17
2,1
1,1
2,12
2,11
2,12
1,2
2,4
4,4
2,1
2,1
2,2
2,3
3,1
2,1
2,1
1327,93
734,175
2,3
550,223
34,53
2,3
2,4
2,2
1305,101
5742,23
1,13
9,4
4,20
2,3
372,8
2,1
2,1
2,7
2,12
332,15
2,1
1,6
5,2
2,4
4,1
3,4
133,3
2,4
84,2
47,1
1,2
229,217
1,3
2,1
3,2
2,4
1467,2
3,53
2,4
3021,128
3,4
1400,8
7011,8622
135,4
1,5
227,13
11,119
378,16
1,1
1599,2321
3,7
1,3
1,2
2,4
1,2
7009,31735
213,63
4,2
2,1
16,11
2,1
3,1
2,7
2,1
1,2
1,15
1467,69
3,2
2,6
2,14
2,7
2,11
2,2
2,8
598,665
1,3
2,6
3,4
2,1
2,2
5995,13961
2,4
2,7
2,1
2,6
9,1
2,9
885,11
1,18
1,1
2,1
2,11
4,9
2,1
2,1
3,6
2,5
1,1
1,2
2,1
150,3
2,2
3,1
2,19
2,1
3,5
250,1
2,1
731,42
2,14
1,4
251,93
1,8
7718,23315
9,4
3,21
2,8
2,2
113,28
2,35
1,3
2,11
2,29
460,6
1,7
2,3
756,22
2,7
2,3
2,5
1573,53
