TF-IDF,TF,IDF,URI
0.083,0.017,4.999,https://www.azcentral.com/story/sports/high-school/2018/02/08/business-group-trying-keep-valley-junior-college-football-alive-beyond-2018/319131002/?hootPostID=fb32e68c95bcdc943b909439c5c31ba3
0.074,0.015,4.999,http://www.fox26houston.com/news/california-lawmakers-introduce-safe-youth-football-act-by-setting-minimum-age-for-tackle-football?utm_source=dlvr.it&utm_medium=twitter
0.071,0.014,4.999,http://abc7.com/sports/california-bill-would-ban-tackle-football-before-high-school/3058813/
0.065,0.013,4.999,http://www.chicagotribune.com/suburbs/daily-southtown/sports/ct-sta-pat-disabato-column-st-0211-20180209-story.html
0.035,0.007,4.999,http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-california-would-bar-organized-tackle-1518130990-htmlstory.html
0.023,0.005,4.999,http://www.telegram.com/news/20180209/five-st-johns-football-players-among-crop-of-area-athletes-finalizing-college-plans?platform=hootsuite
0.022,0.004,4.999,http://lompocrecord.com/sports/high-school/football/another-taua-to-head-to-reno---this-time/article_a7473c8e-13a8-5f79-82ac-8747900922df.html
0.021,0.039,4.999,http://www.dailymail.co.uk/sport/football/article-5374081/Man-United-star-Mata-fears-football-losing-soul.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490
0.009,0.002,4.999,http://www.bbc.co.uk/sport/football/43010230
0.006,0.001,4.999,http://www.football-chairman.com
